id,question
139,"Define metabolism in terms of building up or breaking down materials."
140,"How do bacteria reproduce?"
141,"Explain active transport."
142,"What is the primary function of the cerebellum?"
143,"Identify the structural and functional unit of the kidney."
144,"How do green plants release oxygen?"
145,"What is the simplest form of carbohydrate?"
146,"State the main function of lysosomes."
147,"What is physiology?"
148,"Name the molecule that provides structural support in connective tissue."
149,"Describe the internal transport system in plants."
150,"How do cells remove waste products?"
151,"Explain the movement of ions across a selectively permeable membrane."
152,"What is the primary function of the thylakoid membrane?"
153,"Define chemotrophs."
154,"How is an organism's body temperature regulated?"
155,"What is the fluid portion of the cytoplasm called?"
156,"Identify the main function of the nucleolus."
157,"How is genetic information transferred from DNA to mRNA?"
158,"What bond is formed between two nucleotides?"
159,"Describe the protective outer layer of a plant cell."
160,"What is the primary function of centrioles?"
161,"Define an innate behavior."
162,"Name the enzyme that unwinds DNA strands."
163,"What is zoology?"
164,"State the main function of stomata in plants."
165,"What is the largest classification category in taxonomy?"
166,"How does a cell take in large particles?"
167,"Explain genetic recombination between homologous chromosomes."
168,"Identify the primary function of guard cells."
169,"What phase does the cell spend most of its life in?"
170,"How do plants respond to light?"
171,"Name the organelle responsible for lipid synthesis."
172,"State the main function of the Golgi apparatus."
173,"Describe the structure of the cell membrane."
174,"How do plants convert inorganic carbon into organic compounds?"
175,"What is the semi-fluid substance inside the nucleus called?"
176,"Explain the primary function of spindle fibers during cell division."
177,"How do cells release energy from glucose in the absence of oxygen?"
178,"Name the hormone that regulates blood sugar levels."
179,"Define an amphipathic molecule."
180,"What is the main function of the hypothalamus?"
181,"What do you call a group of similar tissues working together?"
182,"How do plants open and close their stomata?"
183,"Describe the physical splitting of a cell into two daughter cells."
184,"Identify the primary function of platelets in the blood."
185,"What is apoptosis?"
186,"Name the molecule that acts as a second messenger in cells."
187,"Explain catabolism."
188,"What is the main function of microtubules?"
189,"Describe oxidative phosphorylation."
190,"How do organisms maintain internal equilibrium?"
191,"Explain the movement of chromosomes during cell division."
192,"State the primary function of messenger RNA."
193,"Identify the specialized tissue in plants that transports water."
194,"How do cells communicate with each other?"
195,"What is genetics?"
196,"What is the main function of bile in digestion?"
197,"Describe how cells absorb molecules by engulfing them."
198,"What bond exists between the phosphate group of one nucleotide and the sugar of another?"
199,"Identify the smallest structural unit of an element."
200,"What is the primary function of the pituitary gland?"
